Building,Utility,Unit,Meter no.,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
Building 2,Gas,KWh,Meter 1,09/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.13,0,0
Building 2,Gas,KWh,Meter 1,10/03/2013,0,0,0,0,0,0,0,0,31.13,0,0,0,0,0,0,31.13,0,0,0,0,0,31.13,0,0,0,0,0,31.13,0,0,0,0,0,31.13,0,0,0,31.13,0,0,31.13,0,0,0,31.13,0,0,31.13
Building 2,Gas,KWh,Meter 1,11/03/2013,0,0,31.13,0,31.13,31.13,31.13,31.13,31.13,31.13,31.13,0,31.13,31.13,93.39,591.47,529.21,622.6,560.34,529.21,622.6,529.21,466.95,435.82,435.82,217.91,217.91,280.17,186.78,124.52,186.78,124.52,124.52,155.65,155.65,31.13,0,0,0,0,0,31.13,0,0,31.13,0,0,31.13
Building 2,Gas,KWh,Meter 1,12/03/2013,0,0,31.13,0,62.26,0,31.13,31.13,31.13,31.13,31.13,31.13,0,31.13,31.13,62.26,342.43,684.86,591.47,560.34,342.43,280.17,249.04,155.65,155.65,186.78,124.52,217.91,186.78,186.78,124.52,155.65,124.52,217.91,62.26,0,0,0,0,0,0,0,0,31.13,0,0,0,0
Building 2,Gas,KWh,Meter 1,13/03/2013,31.13,0,0,0,62.26,0,31.13,31.13,31.13,0,31.13,31.13,31.13,0,31.13,31.13,31.13,0,62.26,591.47,404.69,217.91,249.04,155.65,31.13,124.52,124.52,93.39,186.78,155.65,124.52,93.39,31.13,0,31.13,0,0,0,0,0,0,0,0,0,0,0,0,31.13
Building 2,Gas,KWh,Meter 1,14/03/2013,0,0,0,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,31.13,31.13,0,31.13,124.52,311.3,155.65,280.17,311.3,466.95,529.21,373.56,404.69,404.69,217.91,155.65,155.65,217.91,31.13,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 2,Gas,KWh,Meter 1,15/03/2013,0,0,0,31.13,31.13,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,0,31.13,31.13,591.47,653.73,435.82,435.82,249.04,249.04,280.17,217.91,186.78,124.52,93.39,62.26,186.78,62.26,62.26,155.65,124.52,124.52,62.26,31.13,0,0,0,0,0,0,0,0,0,0,0,0
Building 2,Gas,KWh,Meter 1,16/03/2013,0,0,0,0,0,0,0,31.13,0,0,0,0,0,0,0,0,31.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.13,0,0,0,0,31.13,0,0,0,31.13,0
Building 2,Gas,KWh,Meter 1,17/03/2013,0,0,31.13,0,0,0,31.13,0,0,0,31.13,0,0,0,31.13,0,0,0,31.13,0,0,0,0,0,31.13,0,0,0,0,0,0,0,0,0,0,0,0,31.13,0,0,0,0,31.13,0,0,0,31.13,0
Building 2,Gas,KWh,Meter 1,18/03/2013,0,0,31.13,0,62.26,0,31.13,31.13,31.13,31.13,31.13,31.13,31.13,0,62.26,311.3,311.3,311.3,311.3,280.17,217.91,560.34,529.21,622.6,622.6,342.43,373.56,373.56,311.3,155.65,311.3,249.04,93.39,31.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 2,Gas,KWh,Meter 1,19/03/2013,0,0,31.13,0,31.13,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,0,31.13,31.13,31.13,0,124.52,591.47,653.73,529.21,311.3,311.3,249.04,124.52,124.52,93.39,155.65,124.52,93.39,186.78,62.26,93.39,62.26,31.13,0,0,0,0,0,0,0,0,0,0,0,0
Building 2,Gas,KWh,Meter 1,20/03/2013,0,0,0,0,62.26,31.13,0,31.13,31.13,31.13,0,31.13,31.13,31.13,0,62.26,747.12,653.73,311.3,155.65,280.17,217.91,155.65,217.91,93.39,62.26,31.13,124.52,124.52,62.26,62.26,62.26,62.26,31.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 2,Gas,KWh,Meter 1,21/03/2013,0,0,0,31.13,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,0,31.13,93.39,653.73,404.69,311.3,155.65,217.91,311.3,249.04,217.91,124.52,124.52,93.39,155.65,124.52,124.52,155.65,93.39,62.26,31.13,93.39,31.13,31.13,0,0,0,0,0,0,0,0,0,0,0,31.13
Building 2,Gas,KWh,Meter 1,22/03/2013,0,0,0,0,62.26,31.13,0,31.13,31.13,31.13,0,31.13,31.13,31.13,31.13,0,31.13,311.3,715.99,498.08,404.69,311.3,155.65,280.17,217.91,93.39,124.52,124.52,155.65,186.78,93.39,93.39,31.13,93.39,31.13,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 2,Gas,KWh,Meter 1,23/03/2013,0,0,0,0,31.13,0,0,0,0,0,0,0,31.13,0,0,0,0,31.13,0,0,0,0,0,31.13,0,0,0,0,31.13,0,0,0,0,31.13,0,0,0,31.13,0,0,0,31.13,0,0,31.13,0,0,0
Building 2,Gas,KWh,Meter 1,24/03/2013,31.13,0,0,31.13,0,0,31.13,0,0,31.13,0,0,31.13,0,0,31.13,0,0,31.13,0,0,31.13,0,0,31.13,0,0,0,31.13,0,31.13,0,0,31.13,0,0,31.13,0,0,31.13,0,0,31.13,0,0,31.13,0,31.13
Building 2,Gas,KWh,Meter 1,25/03/2013,0,0,31.13,0,62.26,0,31.13,31.13,31.13,31.13,0,31.13,31.13,280.17,373.56,529.21,498.08,435.82,498.08,373.56,280.17,342.43,280.17,217.91,280.17,249.04,124.52,93.39,31.13,93.39,62.26,62.26,31.13,62.26,0,0,31.13,0,0,0,0,31.13,0,0,0,31.13,0,0
Building 2,Gas,KWh,Meter 1,26/03/2013,0,31.13,0,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,31.13,0,31.13,31.13,186.78,342.43,529.21,529.21,466.95,591.47,466.95,342.43,217.91,249.04,217.91,280.17,311.3,249.04,155.65,249.04,186.78,31.13,31.13,93.39,0,0,0,31.13,0,0,0,0,31.13,0,0,0,0
Building 2,Gas,KWh,Meter 1,27/03/2013,31.13,0,0,31.13,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,0,31.13,31.13,31.13,0,31.13,93.39,342.43,217.91,529.21,529.21,435.82,404.69,311.3,155.65,155.65,249.04,217.91,186.78,186.78,124.52,93.39,31.13,0,0,0,0,0,0,0,0,31.13,0,0,0,31.13
Building 2,Gas,KWh,Meter 1,28/03/2013,0,0,0,31.13,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,93.39,684.86,622.6,435.82,342.43,186.78,155.65,155.65,155.65,124.52,62.26,124.52,62.26,31.13,93.39,31.13,31.13,93.39,0,0,0,0,0,0,0,0,0,0,0,0,31.13
Building 2,Gas,KWh,Meter 1,29/03/2013,0,0,0,31.13,31.13,31.13,0,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,0,31.13,31.13,0,31.13,31.13,31.13,0,31.13,31.13,0,31.13,31.13,31.13,0,31.13,31.13,0,31.13,0,0,0,0,0,0,0,0,0,31.13,0,0,0,0
Building 2,Gas,KWh,Meter 1,30/03/2013,0,0,31.13,0,0,0,0,31.13,0,0,0,31.13,0,0,31.13,0,0,0,0,0,0,31.13,0,0,0,0,0,0,0,0,31.13,0,0,0,0,0,31.13,0,0,0,0,31.13,0,0,31.13,0,0,0
Building 2,Gas,KWh,Meter 1,31/03/2013,31.13,0,0,0,0,31.13,0,0,31.13,0,31.13,0,0,31.13,0,0,0,31.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.13,0,0,0,0,0,31.13,0,0,0,0
Building 2,Gas,KWh,Meter 1,01/04/2013,31.13,0,0,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,31.13,0,31.13,31.13,31.13,0,31.13,31.13,31.13,0,31.13,31.13,31.13,0,31.13,31.13,31.13,0,31.13,0,0,0,0,0,0,0,0,0,31.13,0,0,0
