Building,Utility,Unit,Meter no.,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
Building 5,Gas,KWh,Meter 1,09/03/2013,47.3,45.1,58.3,33,69.3,39.6,44,47.3,63.8,33,66,38.5,69.3,40.7,70.4,46.2,82.5,83.6,99,40.7,78.1,58.3,67.1,59.4,61.6,80.3,59.4,112.2,52.8,73.7,55,60.5,64.9,52.8,75.9,39.6,58.3,16.5,31.9,37.4,36.3,39.6,39.6,26.4,50.6,102.3,85.8,53.9
Building 5,Gas,KWh,Meter 1,10/03/2013,56.1,69.3,53.9,118.8,80.3,59.4,70.4,44,116.6,81.4,90.2,77,78.1,92.4,129.8,73.7,84.7,107.8,94.6,140.8,118.8,69.3,99,113.3,137.5,106.7,73.7,91.3,104.5,144.1,79.2,83.6,69.3,118.8,95.7,115.5,50.6,49.5,78.1,70.4,78.1,46.2,46.2,93.5,82.5,94.6,147.4,71.5
Building 5,Gas,KWh,Meter 1,11/03/2013,63.8,117.7,108.9,93.5,122.1,96.8,117.7,93.5,110,116.6,124.3,132,104.5,135.3,128.7,122.1,144.1,122.1,140.8,116.6,90.2,91.3,107.8,119.9,122.1,84.7,85.8,75.9,77,106.7,105.6,67.1,71.5,71.5,63.8,102.3,99,101.2,110,84.7,71.5,84.7,106.7,96.8,122.1,103.4,125.4,117.7
Building 5,Gas,KWh,Meter 1,12/03/2013,113.3,114.4,126.5,113.3,106.7,122.1,137.5,110,162.8,113.3,137.5,130.9,126.5,128.7,138.6,116.6,149.6,146.3,134.2,145.2,134.2,136.4,133.1,134.2,122.1,105.6,75.9,135.3,123.2,113.3,79.2,90.2,84.7,105.6,108.9,82.5,67.1,41.8,46.2,73.7,73.7,84.7,48.4,38.5,59.4,89.1,150.7,74.8
Building 5,Gas,KWh,Meter 1,13/03/2013,72.6,81.4,104.5,114.4,86.9,72.6,90.2,129.8,112.2,101.2,90.2,90.2,116.6,119.9,105.6,68.2,118.8,125.4,127.6,104.5,94.6,106.7,118.8,106.7,62.7,99,82.5,64.9,83.6,73.7,57.2,86.9,73.7,66,70.4,48.4,61.6,28.6,37.4,45.1,50.6,47.3,51.7,57.2,57.2,88,141.9,85.8
Building 5,Gas,KWh,Meter 1,14/03/2013,71.5,75.9,105.6,113.3,110,94.6,88,121,123.2,140.8,124.3,111.1,94.6,130.9,129.8,124.3,130.9,110,95.7,117.7,97.9,83.6,69.3,73.7,80.3,74.8,77,68.2,84.7,64.9,63.8,61.6,67.1,59.4,89.1,59.4,27.5,36.3,36.3,38.5,37.4,31.9,33,36.3,39.6,30.8,124.3,58.3
Building 5,Gas,KWh,Meter 1,15/03/2013,63.8,75.9,49.5,68.2,63.8,58.3,91.3,70.4,68.2,106.7,115.5,102.3,72.6,72.6,82.5,90.2,124.3,108.9,68.2,88,69.3,101.2,106.7,64.9,78.1,81.4,77,81.4,70.4,81.4,74.8,72.6,78.1,77,83.6,99,108.9,40.7,42.9,38.5,42.9,39.6,51.7,72.6,61.6,35.2,121,57.2
Building 5,Gas,KWh,Meter 1,16/03/2013,94.6,94.6,102.3,74.8,64.9,55,91.3,91.3,104.5,64.9,67.1,74.8,101.2,97.9,100.1,79.2,75.9,114.4,126.5,107.8,85.8,55,74.8,67.1,62.7,73.7,66,67.1,61.6,77,60.5,63.8,69.3,79.2,72.6,71.5,56.1,30.8,36.3,30.8,35.2,35.2,41.8,58.3,38.5,37.4,129.8,95.7
Building 5,Gas,KWh,Meter 1,17/03/2013,104.5,70.4,61.6,74.8,104.5,95.7,104.5,62.7,67.1,107.8,119.9,103.4,85.8,86.9,119.9,108.9,107.8,97.9,95.7,133.1,114.4,89.1,83.6,96.8,126.5,91.3,62.7,79.2,48.4,86.9,49.5,74.8,60.5,59.4,72.6,66,46.2,35.2,28.6,42.9,35.2,42.9,58.3,40.7,36.3,91.3,152.9,90.2
Building 5,Gas,KWh,Meter 1,18/03/2013,57.2,83.6,82.5,102.3,127.6,80.3,75.9,114.4,117.7,128.7,111.1,85.8,95.7,138.6,111.1,96.8,84.7,113.3,99,90.2,41.8,74.8,48.4,64.9,57.2,55,62.7,56.1,60.5,51.7,58.3,41.8,56.1,51.7,49.5,49.5,31.9,36.3,26.4,12.1,38.5,39.6,40.7,36.3,37.4,49.5,97.9,61.6
Building 5,Gas,KWh,Meter 1,19/03/2013,58.3,77,69.3,60.5,77,66,61.6,96.8,83.6,134.2,112.2,90.2,92.4,80.3,113.3,128.7,124.3,80.3,101.2,100.1,128.7,102.3,67.1,88,52.8,69.3,59.4,57.2,72.6,55,73.7,55,63.8,63.8,64.9,83.6,39.6,25.3,49.5,31.9,52.8,36.3,42.9,39.6,53.9,61.6,136.4,69.3
Building 5,Gas,KWh,Meter 1,20/03/2013,46.2,86.9,45.1,96.8,94.6,84.7,68.2,74.8,84.7,125.4,103.4,100.1,55,93.5,105.6,126.5,82.5,78.1,88,84.7,117.7,64.9,75.9,5.5,4.4,4.4,5.5,53.9,132,93.5,67.1,78.1,83.6,94.6,61.6,78.1,34.1,40.7,47.3,39.6,48.4,35.2,60.5,49.5,44,40.7,90.2,113.3
Building 5,Gas,KWh,Meter 1,21/03/2013,85.8,88,56.1,78.1,46.2,123.2,88,103.4,68.2,70.4,110,100.1,114.4,82.5,72.6,110,102.3,146.3,56.1,3.3,4.4,36.3,40.7,19.8,5.5,4.4,26.4,41.8,23.1,4.4,5.5,11,40.7,30.8,5.5,4.4,3.3,24.2,39.6,30.8,3.3,3.3,16.5,39.6,38.5,9.9,3.3,12.1
