Building,Utility,Unit,Meter no.,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
Building 3,Gas,KWh,Meter 1,23/03/2013,68.486,34.243,59.147,31.13,43.582,46.695,28.017,62.26,34.243,31.13,52.921,34.243,31.13,49.808,43.582,28.017,31.13,59.147,31.13,28.017,34.243,31.13,65.373,31.13,28.017,52.921,34.243,40.469,28.017,52.921,37.356,28.017,28.017,34.243,65.373,28.017,31.13,28.017,37.356,56.034,34.243,62.26,28.017,31.13,28.017,62.26,31.13,37.356
Building 3,Gas,KWh,Meter 1,24/03/2013,59.147,28.017,34.243,31.13,62.26,31.13,34.243,31.13,59.147,31.13,28.017,62.26,37.356,43.582,46.695,34.243,59.147,28.017,31.13,34.243,65.373,31.13,49.808,40.469,28.017,37.356,59.147,37.356,31.13,62.26,28.017,52.921,90.277,71.599,71.599,71.599,59.147,46.695,74.712,68.486,43.582,62.26,71.599,68.486,71.599,37.356,65.373,74.712
Building 3,Gas,KWh,Meter 1,25/03/2013,52.921,155.65,121.407,127.633,186.78,130.746,164.989,124.52,130.746,168.102,96.503,155.65,112.068,136.972,84.051,136.972,112.068,143.198,108.955,124.52,102.729,124.52,105.842,74.712,93.39,87.164,96.503,105.842,43.582,77.825,49.808,46.695,31.13,68.486,68.486,77.825,34.243,59.147,0,0,0,0,0,6.226,3.113,0,77.825,74.712
Building 3,Gas,KWh,Meter 1,26/03/2013,40.469,71.599,34.243,65.373,31.13,87.164,108.955,90.277,93.39,164.989,108.955,127.633,124.52,158.763,149.424,115.181,140.085,112.068,118.294,112.068,90.277,87.164,90.277,62.26,52.921,68.486,99.616,71.599,37.356,31.13,68.486,65.373,28.017,34.243,37.356,6.226,68.486,71.599,0,0,0,6.226,0,0,0,0,0,105.842
Building 3,Gas,KWh,Meter 1,27/03/2013,65.373,74.712,34.243,40.469,52.921,31.13,62.26,108.955,93.39,161.876,112.068,112.068,155.65,164.989,99.616,152.537,96.503,124.52,96.503,80.938,105.842,52.921,56.034,90.277,77.825,49.808,65.373,37.356,0,37.356,84.051,90.277,28.017,77.825,37.356,87.164,12.452,0,0,0,0,0,9.339,0,18.678,68.486,77.825,43.582
Building 3,Gas,KWh,Meter 1,28/03/2013,62.26,31.13,65.373,31.13,65.373,34.243,121.407,93.39,90.277,155.65,108.955,115.181,124.52,136.972,140.085,96.503,112.068,112.068,130.746,127.633,71.599,77.825,77.825,31.13,71.599,34.243,40.469,0,84.051,0,40.469,59.147,28.017,0,0,59.147,9.339,0,0,0,0,0,9.339,0,0,0,0,0
Building 3,Gas,KWh,Meter 1,29/03/2013,6.226,0,0,0,0,0,6.226,0,0,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,3.113,6.226,0,0,0,0,6.226
Building 3,Gas,KWh,Meter 1,30/03/2013,0,0,0,0,0,6.226,0,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,6.226,0,0,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,6.226,0,0,0,0,0,9.339,0,0,0
Building 3,Gas,KWh,Meter 1,31/03/2013,0,6.226,0,0,0,0,0,0,3.113,3.113,0,0,0,3.113,6.226,0,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0,6.226,3.113,0,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0,6.226
Building 3,Gas,KWh,Meter 1,01/04/2013,3.113,0,0,0,0,6.226,0,0,0,0,6.226,0,0,0,0,3.113,6.226,0,0,0,0,6.226,0,0,0,0,3.113,3.113,0,0,0,0,9.339,0,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0
Building 3,Gas,KWh,Meter 1,02/04/2013,9.339,0,202.345,224.136,227.249,233.475,171.215,168.102,168.102,168.102,140.085,143.198,164.989,164.989,143.198,133.859,149.424,130.746,161.876,112.068,146.311,99.616,124.52,118.294,71.599,77.825,93.39,90.277,46.695,0,28.017,59.147,49.808,31.13,37.356,52.921,0,31.13,9.339,0,0,0,0,0,6.226,0,0,0
Building 3,Gas,KWh,Meter 1,03/04/2013,0,0,6.226,93.39,68.486,102.729,118.294,174.328,140.085,118.294,99.616,96.503,161.876,168.102,99.616,161.876,99.616,155.65,93.39,158.763,77.825,115.181,96.503,49.808,77.825,34.243,65.373,46.695,28.017,37.356,6.226,0,0,43.582,15.565,9.339,0,84.051,0,0,0,6.226,3.113,0,0,0,0,6.226
Building 3,Gas,KWh,Meter 1,04/04/2013,0,0,0,96.503,80.938,174.328,93.39,84.051,84.051,102.729,143.198,127.633,108.955,164.989,124.52,127.633,115.181,140.085,102.729,143.198,84.051,136.972,87.164,68.486,77.825,105.842,80.938,74.712,65.373,65.373,71.599,37.356,102.729,68.486,102.729,40.469,0,96.503,37.356,0,6.226,0,0,0,0,0,9.339,68.486
Building 3,Gas,KWh,Meter 1,05/04/2013,56.034,62.26,40.469,31.13,40.469,59.147,140.085,87.164,84.051,127.633,133.859,130.746,108.955,161.876,149.424,102.729,164.989,87.164,136.972,102.729,108.955,90.277,68.486,77.825,90.277,49.808,65.373,40.469,68.486,28.017,0,0,31.13,77.825,65.373,0,0,71.599,21.791,3.113,6.226,0,0,0,0,0,77.825,77.825
Building 3,Gas,KWh,Meter 1,06/04/2013,62.26,31.13,59.147,31.13,37.356,59.147,31.13,28.017,43.582,46.695,37.356,31.13,59.147,28.017,31.13,28.017,34.243,40.469,34.243,31.13,28.017,18.678,18.678,28.017,34.243,24.904,28.017,28.017,40.469,43.582,28.017,9.339,24.904,28.017,24.904,28.017,28.017,28.017,24.904,31.13,34.243,28.017,28.017,24.904,28.017,28.017,37.356,28.017
Building 3,Gas,KWh,Meter 1,07/04/2013,28.017,28.017,28.017,49.808,37.356,18.678,18.678,56.034,28.017,28.017,31.13,37.356,59.147,28.017,28.017,24.904,31.13,37.356,24.904,28.017,28.017,24.904,28.017,34.243,28.017,24.904,34.243,31.13,24.904,28.017,31.13,28.017,24.904,28.017,28.017,24.904,37.356,28.017,24.904,28.017,31.13,56.034,28.017,34.243,28.017,28.017,31.13,28.017
Building 3,Gas,KWh,Meter 1,08/04/2013,24.904,40.469,46.695,40.469,31.13,28.017,28.017,105.842,171.215,161.876,93.39,140.085,80.938,140.085,90.277,121.407,99.616,90.277,90.277,31.13,65.373,31.13,52.921,40.469,37.356,49.808,49.808,34.243,71.599,28.017,31.13,28.017,6.226,40.469,34.243,56.034,0,0,0,9.339,0,0,0,0,0,6.226,0,0
Building 3,Gas,KWh,Meter 1,09/04/2013,0,0,0,6.226,0,0,0,0,121.407,177.441,121.407,146.311,115.181,146.311,121.407,93.39,136.972,74.712,127.633,87.164,68.486,87.164,40.469,59.147,71.599,34.243,68.486,34.243,34.243,28.017,24.904,37.356,87.164,31.13,31.13,34.243,37.356,0,0,0,0,0,0,9.339,0,0,0,0
Building 3,Gas,KWh,Meter 1,10/04/2013,0,6.226,0,0,0,0,0,6.226,0,196.119,121.407,152.537,115.181,149.424,118.294,62.26,102.729,93.39,46.695,74.712,31.13,28.017,0,0,0,9.339,0,15.565,65.373,34.243,12.452,0,0,0,99.616,34.243,31.13,0,0,0,3.113,3.113,0,0,0,0,0,9.339
Building 3,Gas,KWh,Meter 1,11/04/2013,0,0,0,0,0,6.226,0,0,65.373,62.26,121.407,183.667,124.52,130.746,130.746,112.068,77.825,121.407,87.164,34.243,28.017,28.017,40.469,59.147,28.017,28.017,31.13,31.13,24.904,0,0,0,77.825,37.356,43.582,28.017,0,0,0,9.339,0,0,0,0,0,6.226,0,0
Building 3,Gas,KWh,Meter 1,12/04/2013,0,0,3.113,3.113,0,0,0,0,9.339,0,108.955,227.249,124.52,152.537,115.181,124.52,65.373,115.181,84.051,37.356,62.26,31.13,0,0,37.356,21.791,40.469,0,0,0,0,65.373,84.051,31.13,0,0,0,0,6.226,0,0,0,0,0,9.339,0,0,118.294
Building 3,Gas,KWh,Meter 1,13/04/2013,68.486,34.243,37.356,31.13,43.582,12.452,28.017,28.017,37.356,59.147,28.017,28.017,12.452,46.695,31.13,31.13,28.017,28.017,28.017,28.017,31.13,34.243,28.017,28.017,28.017,28.017,56.034,18.678,18.678,28.017,24.904,28.017,34.243,59.147,28.017,3.113,24.904,24.904,28.017,34.243,37.356,28.017,24.904,28.017,28.017,31.13,31.13,28.017
Building 3,Gas,KWh,Meter 1,14/04/2013,31.13,28.017,28.017,31.13,31.13,24.904,28.017,28.017,31.13,31.13,31.13,28.017,24.904,28.017,28.017,34.243,31.13,28.017,24.904,28.017,28.017,31.13,31.13,24.904,24.904,3.113,28.017,28.017,34.243,24.904,28.017,31.13,28.017,24.904,37.356,24.904,28.017,0,28.017,28.017,37.356,31.13,28.017,28.017,28.017,24.904,31.13,40.469
Building 3,Gas,KWh,Meter 1,15/04/2013,28.017,28.017,24.904,28.017,28.017,9.339,56.034,28.017,24.904,65.373,87.164,171.215,102.729,84.051,99.616,87.164,74.712,62.26,77.825,65.373,31.13,28.017,37.356,24.904,0,37.356,28.017,34.243,28.017,28.017,0,0,0,6.226,0,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0
Building 3,Gas,KWh,Meter 1,16/04/2013,0,6.226,3.113,0,0,0,0,6.226,0,0,0,96.503,230.362,180.554,93.39,121.407,77.825,80.938,62.26,31.13,31.13,24.904,0,9.339,31.13,0,37.356,34.243,6.226,0,21.791,0,0,0,3.113,3.113,0,0,0,0,0,9.339,0,0,0,0,0,3.113
Building 3,Gas,KWh,Meter 1,17/04/2013,3.113,0,0,0,0,0,6.226,0,0,0,0,21.791,171.215,180.554,143.198,84.051,105.842,93.39,37.356,68.486,31.13,68.486,46.695,65.373,65.373,31.13,43.582,49.808,31.13,34.243,0,24.904,37.356,34.243,52.921,6.226,18.678,0,0,0,6.226,0,0,0,0,0,6.226,0
Building 3,Gas,KWh,Meter 1,18/04/2013,0,0,0,0,9.339,0,0,0,105.842,71.599,96.503,136.972,102.729,158.763,90.277,102.729,108.955,68.486,99.616,90.277,46.695,68.486,28.017,28.017,0,24.904,34.243,28.017,0,28.017,28.017,34.243,31.13,0,28.017,28.017,0,0,9.339,0,0,0,0,0,6.226,0,0,0
Building 3,Gas,KWh,Meter 1,19/04/2013,0,0,6.226,0,0,0,0,0,6.226,171.215,130.746,155.65,99.616,112.068,102.729,102.729,52.921,87.164,74.712,40.469,68.486,31.13,37.356,59.147,28.017,0,28.017,34.243,34.243,3.113,0,0,0,0,0,9.339,0,6.226,6.226,3.113,9.339,0,9.339,0,9.339,6.226,3.113,52.921
