Building,Utility,Unit,Meter no.,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
Building 4,Gas,KWh,Meter 1,26/03/2013,0,0,0,0,0,143,143,77,99,99,77,154,99,99,77,99,264,187,132,143,165,176,154,154,143,143,154,176,143,165,110,143,121,132,121,44,66,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,27/03/2013,0,0,0,0,165,110,99,77,77,77,77,132,88,99,88,77,231,165,143,154,132,143,132,143,110,121,132,143,110,143,77,77,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,28/03/2013,0,0,176,77,121,77,88,88,77,77,132,110,121,99,198,209,121,143,121,143,110,110,88,121,110,110,121,154,99,121,99,88,143,33,66,33,66,33,22,33,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,29/03/2013,0,0,143,99,77,55,55,66,55,66,121,88,77,99,242,187,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,30/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,31/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,01/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,02/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,363,330,231,220,176,198,165,176,154,176,176,143,165,154,187,99,154,99,143,110,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,03/04/2013,0,0,0,0,0,242,165,132,121,121,132,143,198,264,198,165,198,176,165,187,165,165,165,176,176,66,44,22,319,176,165,176,187,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,04/04/2013,0,0,0,0,187,121,88,77,154,99,132,88,121,110,242,132,44,11,297,187,165,165,198,176,187,187,176,198,165,187,165,143,165,110,132,121,55,55,33,33,22,44,11,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,05/04/2013,0,0,0,0,121,99,77,77,77,99,88,110,77,88,165,253,165,176,143,165,176,154,154,132,165,154,121,154,88,121,33,77,55,44,22,22,33,33,44,33,33,33,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,06/04/2013,0,0,0,0,121,44,33,77,77,66,66,55,77,99,77,264,165,165,165,154,154,154,143,132,99,77,88,88,88,132,33,33,66,33,33,33,22,44,33,22,33,33,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,07/04/2013,0,0,0,0,121,55,22,33,33,44,33,33,33,55,33,110,55,66,44,77,44,110,286,143,143,176,110,154,88,99,66,66,33,22,33,33,33,33,33,44,22,33,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,08/04/2013,0,0,0,0,121,99,66,66,66,66,121,88,88,77,77,154,220,176,165,165,154,143,110,154,99,99,132,99,99,99,132,55,77,143,110,33,33,33,22,33,44,22,11,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,09/04/2013,0,0,0,0,0,143,99,55,66,55,66,44,77,110,88,77,253,165,165,176,121,176,121,154,121,110,143,110,110,143,110,99,88,88,121,33,55,44,44,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,10/04/2013,0,0,0,0,0,154,110,66,77,77,77,77,88,121,66,77,66,55,176,132,88,77,77,55,55,66,55,77,66,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,11/04/2013,0,0,0,0,154,110,66,44,44,77,33,55,44,66,44,77,66,77,176,110,99,88,77,88,77,88,44,44,77,88,33,55,44,55,121,22,33,33,33,33,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,12/04/2013,0,0,121,66,22,88,66,33,55,44,55,44,44,55,33,88,66,55,154,77,88,77,66,110,99,77,88,99,55,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,13/04/2013,0,0,0,0,0,0,0,154,110,66,44,66,44,55,55,44,66,77,165,88,99,77,88,77,77,88,77,77,88,143,77,44,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,14/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,55,77,33,66,33,55,55,33,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,15/04/2013,0,0,0,0,0,143,110,44,44,44,33,55,44,44,88,44,44,44,110,44,77,66,44,55,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,16/04/2013,0,0,0,0,0,0,0,0,0,220,77,22,55,44,55,55,55,44,88,66,77,44,77,44,55,66,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,17/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,121,154,44,33,55,99,44,66,77,44,66,66,55,44,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,18/04/2013,0,0,0,0,0,0,0,0,0,0,209,66,55,33,66,55,77,33,132,44,77,44,55,77,66,66,33,77,66,88,33,55,55,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,19/04/2013,0,0,0,0,0,0,0,99,154,33,66,33,55,55,33,77,77,22,132,55,66,66,44,66,66,55,44,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,20/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,242,44,77,121,55,66,33,77,77,33,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,21/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,110,55,77,77,55,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,22/04/2013,0,0,0,0,0,0,0,0,0,0,0,209,77,55,44,77,66,44,121,33,77,77,44,66,77,55,55,66,55,44,99,55,33,55,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,23/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,22,209,66,55,66,55,99,44,77,77,33,66,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,24/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,143,22,55,55,77,77,44,66,66,44,66,55,55,66,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,25/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,154,22,44,55,77,55,55,66,44,66,44,66,44,55,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,26/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,77,66,55,77,55,77,44,66,77,33,66,44,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,27/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,209,55,99,77,88,44,77,77,44,77,55,55,66,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,28/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,187,44,77,99,55,77,77,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,29/04/2013,0,0,0,0,0,0,0,0,0,0,55,198,44,77,55,77,77,44,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,30/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,242,77,0,22,99,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,01/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,165,110,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,02/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,03/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,04/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,05/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,06/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,07/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,08/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,09/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,10/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,11/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,12/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,13/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,14/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,15/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,264,121,165,110,143,110,99,99,99,88,99,44,88,88,66,66,88,88,77,66,88,88,77,66,88,88,88,55,99,88,99,88,99
Building 4,Gas,KWh,Meter 1,16/05/2013,88,88,77,88,88,99,99,88,99,99,99,99,99,99,99,99,88,88,55,88,88,55,66,88,33,88,66,66,88,44,88,55,77,77,44,88,44,88,55,77,66,55,88,44,88,44,88,66
Building 4,Gas,KWh,Meter 1,17/05/2013,66,88,44,88,77,44,99,88,44,88,88,55,77,88,77,66,77,55,77,77,33,88,33,88,44,88,33,88,44,77,44,66,88,44,77,44,66,55,66,77,55,66,44,77,44,77,66,55
Building 4,Gas,KWh,Meter 1,18/05/2013,66,44,88,44,77,44,77,66,55,77,44,88,44,88,33,88,44,77,33,88,44,66,55,66,66,44,77,33,77,44,77,44,66,55,55,55,44,77,33,77,33,66,44,66,66,55,55,55
Building 4,Gas,KWh,Meter 1,19/05/2013,44,66,55,55,77,33,77,44,77,44,66,44,66,66,44,77,55,55,44,66,44,66,44,66,44,66,44,55,66,33,77,33,66,55,44,77,44,55,33,77,33,66,44,55,77,33,77,33
Building 4,Gas,KWh,Meter 1,20/05/2013,66,55,44,77,33,77,33,66,66,33,77,44,55,55,77,33,66,44,55,55,55,55,44,66,33,44,55,77,22,66,44,55,44,66,33,77,33,66,33,66,44,55,44,66,44,66,33,66
Building 4,Gas,KWh,Meter 1,21/05/2013,44,77,33,55,44,66,44,66,55,44,66,44,66,44,66,44,66,33,66,44,77,33,55,44,66,44,55,66,44,77,33,66,33,77,22,77,33,66,22,77,33,55,44,66,33,77,33,66
Building 4,Gas,KWh,Meter 1,22/05/2013,33,66,44,55,44,66,44,66,33,77,33,66,44,66,33,66,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,23/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,55,0,0,0,0,0,0,0,0,0,0,0,0,154,88,44,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,24/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,198,77,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,25/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,66,198,44,44,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,26/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,44,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,27/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,28/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,154,44,33,88,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,29/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,11,209,66,55,66,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,30/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,31/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,01/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,02/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,03/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,04/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,05/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,06/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,07/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,08/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,09/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,10/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,11/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,12/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,13/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,14/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,15/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,16/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,17/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,18/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,19/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,20/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,21/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,22/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,23/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,24/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,25/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,26/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,27/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
