Building,Utility,Unit,Meter no.,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
Building 4,Gas,KWh,Meter 1,09/03/2013,0,0,132,44,22,33,44,77,55,44,55,44,66,33,66,33,66,66,176,77,88,88,77,66,66,88,77,77,77,143,33,33,44,22,22,33,33,33,33,22,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,10/03/2013,0,0,132,44,22,44,33,33,33,33,33,22,44,33,22,110,66,55,44,55,55,44,55,55,187,176,121,132,99,154,33,66,22,33,33,44,22,33,44,22,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,11/03/2013,0,0,132,44,33,99,77,55,55,33,55,55,132,66,99,77,176,220,154,154,165,132,121,154,154,143,132,121,154,143,99,110,132,143,88,44,33,33,33,22,11,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,12/03/2013,0,0,0,0,33,396,253,165,154,165,165,154,165,154,154,165,154,143,154,176,176,187,165,165,132,132,165,143,110,110,121,99,77,66,99,44,22,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,13/03/2013,0,0,0,0,143,88,77,77,55,44,88,55,55,88,88,66,110,209,143,121,110,121,77,88,88,110,88,66,99,154,0,0,121,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,14/03/2013,0,0,143,66,33,88,55,77,55,77,55,55,110,88,88,77,176,187,143,110,143,110,88,88,77,77,77,55,88,99,66,88,77,55,143,33,33,22,33,44,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,15/03/2013,0,0,132,44,33,77,77,66,33,66,55,44,55,88,77,77,88,231,110,143,110,143,99,121,121,121,110,132,99,209,44,44,66,22,22,55,22,22,44,44,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,16/03/2013,0,0,121,66,33,22,33,99,66,33,66,55,66,55,55,44,99,77,198,143,88,88,121,88,99,99,99,88,88,154,55,66,44,55,22,33,44,22,44,22,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,17/03/2013,0,0,132,66,22,33,44,22,44,44,22,33,44,22,33,121,66,44,66,55,55,77,77,275,143,121,110,143,121,154,55,44,99,22,22,33,44,22,33,55,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,18/03/2013,0,0,132,55,33,88,66,77,22,77,66,99,77,77,88,88,176,176,110,110,88,121,88,77,88,66,77,66,88,66,77,66,55,77,121,44,33,33,22,44,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,19/03/2013,0,0,0,0,0,154,110,55,44,66,55,44,77,88,66,77,121,209,121,110,121,99,88,77,99,88,77,77,88,110,55,55,77,33,143,22,33,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,20/03/2013,0,0,0,0,143,99,77,66,44,66,44,66,44,77,110,77,77,77,198,88,121,88,110,99,88,121,88,88,110,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,21/03/2013,0,0,176,66,66,88,88,66,77,77,77,66,66,110,66,66,88,77,220,143,154,132,132,143,110,143,154,110,143,99,143,88,110,77,121,44,55,55,33,55,11,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,22/03/2013,0,0,121,55,22,99,77,55,44,66,66,44,55,110,66,99,143,176,110,132,88,132,99,132,132,132,99,110,143,132,0,110,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,23/03/2013,0,0,0,0,0,0,0,154,154,66,66,99,66,88,77,121,176,176,132,143,143,143,132,154,154,143,132,121,143,176,88,77,66,66,22,22,44,33,44,22,0,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,24/03/2013,0,0,132,66,33,33,22,33,44,44,33,33,22,33,66,88,66,55,66,66,110,110,242,198,176,154,154,176,165,176,77,121,77,55,66,66,55,77,66,55,11,0,0,0,0,0,0,0
Building 4,Gas,KWh,Meter 1,25/03/2013,0,0,154,77,55,110,121,77,77,99,154,99,99,88,77,99,286,198,165,165,176,165,143,143,154,176,165,154,132,143,143,143,99,110,154,77,33,77,66,66,0,0,0,0,0,0,0,0
